SELECT title, price_gbp, rating FROM books WHERE price_gbp BETWEEN 15 AND 30 ORDER BY price_gbp;

                                                                                            title  price_gbp  rating
                                                        The Girl In The Ice (DCI Erika Foster #1)      15.85       3
                                                       The Constant Princess (The Tudor Court #1)      16.62       3
                                                                                 A Murder in Time      16.64       1
                                                          A Study in Scarlet (Sherlock Holmes #1)      16.73       2
                                                                                      Lilac Girls      17.28       2
                                                        The Cuckoo's Calling (Cormoran Strike #1)      19.21       1
                                                                             In a Dark, Dark Wood      19.63       1
                                                             Blood Defense (Samantha Brinkman #1)      20.30       3
                                                                             Love, Lies and Spies      20.55       2
                                                 Delivering the Truth (Quaker Midwife Mystery #1)      20.89       4
                                                                           Voyager (Outlander #3)      21.07       5
                                                                The Silkworm (Cormoran Strike #2)      23.05       5
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2)      23.21       1
                                                              Career of Evil (Cormoran Strike #3)      24.72       2
                                              The Mysterious Affair at Styles (Hercule Poirot #1)      24.80       4
                                What Happened on Beale Street (Secrets of the South Mysteries #2)      25.37       5
                                                               Extreme Prey (Lucas Davenport #26)      25.40       3
                                                               1,000 Places to See Before You Die      26.08       5
                                                                        Girl With a Pearl Earring      26.77       1
                                                                 Poisonous (Max Revere Novels #3)      26.80       3
                                                                                        The Widow      27.26       2
                                                                        The Marriage of Opposites      28.08       4
                                                                            The Passion of Dolssa      28.32       5
                        Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton      29.69       3
