title,price_gbp,category_name
Boar Island (Anna Pigeon #19),59.48,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Mystery
The Past Never Ends,56.5,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Mystery
The Last Mile (Amos Decker #2),54.21,Mystery
1st to Die (Women's Murder Club #1),53.98,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Mystery
A Time of Torment (Charlie Parker #14),48.35,Mystery
Sharp Objects,47.82,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Mystery
